lat, long, distance, accumulated distance, raw heading, smoothed heading, calculated heading, opt calculated heading, section type mask, section type, PAH/IH, optimized PAH/IH, PAHS, optimized PAHS
45.63945389891705, -92.99211000000001,2.9999999998848903, 2.9999999998848903,360, 183.1942901611328, 50, 50, 50, NA, NA, NA, NA, NA
45.63948084837557, -92.99211000000001,2.9999999998848903, 5.999999999769781,360, 189.38717651367188, 50, 50, 50, NA, NA, NA, NA, NA
45.63950779783409, -92.99211000000001,2.9999999998848903, 8.999999999654671,360, 195.56597900390625, 50, 50, 50, NA, NA, NA, NA, NA
45.639534747292615, -92.99211000000001,2.9999999998848903, 11.999999999539561,360, 201.7212371826172, 50, 50, 50, NA, NA, NA, NA, NA
45.63956169675114, -92.99211000000001,2.9999999998848903, 14.999999999424452,360, 207.84368896484375, 50, 50, 50, NA, NA, NA, NA, NA
45.63958864620966, -92.99211000000001,2.9999999998848903, 17.999999999309342,360, 213.9241180419922, 50, 50, 50, NA, NA, NA, NA, NA
45.63961559566818, -92.99211000000001,2.9999999998848903, 20.99999999919423,360, 219.95347595214844, 50, 50, 50, NA, NA, NA, NA, NA
45.639642545126705, -92.99211000000001,2.9999999998848903, 23.999999999079122,360, 225.9228973388672, 50, 50, 50, NA, NA, NA, NA, NA
45.63966949458523, -92.99211000000001,2.9999999998848903, 26.999999998964014,360, 231.82382202148438, 50, 50, 50, NA, NA, NA, NA, NA
45.63969644404375, -92.99211000000001,2.9999999998848903, 29.999999998848907,360, 237.64779663085938, 50, 50, 50, NA, NA, NA, NA, NA
45.63972339350227, -92.99211000000001,2.9999999998848903, 32.9999999987338,360, 243.38658142089844, 50, 50, 50, NA, NA, NA, NA, NA
45.639750342960795, -92.99211000000001,2.9999999998848903, 35.99999999861869,360, 249.03248596191406, 50, 50, 50, NA, NA, NA, NA, NA
45.63977729241932, -92.99211000000001,2.9999999998848903, 38.99999999850358,360, 254.57797241210938, 50, 50, 50, NA, NA, NA, NA, NA
45.63980424187784, -92.99211000000001,2.9999999998848903, 41.999999998388475,360, 260.0157775878906, 50, 50, 50, NA, NA, NA, NA, NA
45.63983119133636, -92.99211000000001,2.9999999998848903, 44.99999999827337,360, 265.3392333984375, 50, 50, 50, NA, NA, NA, NA, NA
45.639858140794885, -92.99211000000001,2.9999999998848903, 47.99999999815826,360, 270.5418701171875, 50, 50, 50, NA, NA, NA, NA, NA
45.63991, -92.99211000000001,5.772940306354524, 53.77294030451279,360, 275.6177978515625, 50, 50, 50, NA, NA, NA, NA, NA
45.63993694945852, -92.99211000000001,2.9999999998848903, 56.77294030439768,360, 280.5613708496094, 50, 50, 50, NA, NA, NA, NA, NA
45.639963898917046, -92.99211000000001,2.9999999998848903, 59.77294030428257,360, 285.36761474609375, 50, 50, 50, NA, NA, NA, NA, NA
45.63999084837557, -92.99211000000001,2.9999999998848903, 62.77294030416746,360, 290.0317077636719, 50, 50, 50, NA, NA, NA, NA, NA
45.64001779783409, -92.99211000000001,2.9999999998848903, 65.77294030405236,360, 294.5497131347656, 50, 50, 50, NA, NA, NA, NA, NA
45.64004474729261, -92.99211000000001,2.9999999998848903, 68.77294030393725,360, 298.917724609375, 50, 50, 50, NA, NA, NA, NA, NA
45.640071696751136, -92.99211000000001,2.9999999998848903, 71.77294030382214,360, 303.1326599121094, 50, 50, 50, NA, NA, NA, NA, NA
45.64009864620966, -92.99211000000001,2.9999999998848903, 74.77294030370703,360, 307.1918029785156, 50, 50, 50, NA, NA, NA, NA, NA
45.64012559566818, -92.99211000000001,2.9999999998848903, 77.77294030359192,360, 311.0928955078125, 50, 50, 50, NA, NA, NA, NA, NA
45.6401525451267, -92.99211000000001,2.9999999998848903, 80.77294030347682,360, 314.8343811035156, 50, 50, 50, NA, NA, NA, NA, NA
45.640179494585226, -92.99211000000001,2.9999999998848903, 83.77294030336171,360, 318.414794921875, 50, 50, 50, NA, NA, NA, NA, NA
45.64020644404375, -92.99211000000001,2.9999999998848903, 86.7729403032466,360, 321.8335876464844, 50, 50, 50, NA, NA, NA, NA, NA
45.64023339350227, -92.99211000000001,2.9999999998848903, 89.77294030313149,360, 325.0904235839844, 50, 50, 50, NA, NA, NA, NA, NA
45.640260342960794, -92.99211000000001,2.9999999998848903, 92.77294030301638,360, 328.185546875, 50, 50, 50, NA, NA, NA, NA, NA
45.640287292419316, -92.99211000000001,2.9999999998848903, 95.77294030290128,360, 331.1197509765625, 50, 50, 50, NA, NA, NA, NA, NA
45.64031424187784, -92.99211000000001,2.9999999998848903, 98.77294030278617,360, 333.8941650390625, 50, 50, 50, NA, NA, NA, NA, NA
45.64034119133636, -92.99211000000001,2.9999999998848903, 101.77294030267106,360, 336.5102233886719, 50, 50, 50, NA, NA, NA, NA, NA
45.640368140794884, -92.99211000000001,2.9999999998848903, 104.77294030255595,360, 338.97003173828125, 50, 50, 50, NA, NA, NA, NA, NA
45.640395090253406, -92.99211000000001,2.9999999998848903, 107.77294030244084,360, 341.2760314941406, 50, 50, 50, NA, NA, NA, NA, NA
45.64042203971193, -92.99211000000001,2.9999999998848903, 110.77294030232574,360, 343.4310607910156, 50, 50, 50, NA, NA, NA, NA, NA
45.64044898917045, -92.99211000000001,2.9999999998848903, 113.77294030221063,360, 345.438232421875, 50, 50, 50, NA, NA, NA, NA, NA
45.640475938628974, -92.99211000000001,2.9999999998848903, 116.77294030209552,360, 347.30108642578125, 50, 50, 50, NA, NA, NA, NA, NA
